Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,31.303333,31.709999,31.280001,31.430000,30.827253,1298400
2011-01-04,31.620001,31.620001,31.139999,31.299999,30.699751,1088100
2011-01-05,31.299999,31.623333,31.240000,31.549999,30.944954,1756800
2011-01-06,31.450001,31.750000,31.450001,31.696667,31.088808,714300
2011-01-07,31.673332,31.796667,31.466667,31.683332,31.075731,1017300
2011-01-10,31.660000,31.693333,31.440001,31.646667,31.039764,938400
2011-01-11,31.913334,31.913334,31.730000,31.820000,31.209776,1281300
2011-01-12,31.936666,31.993334,31.716667,31.993334,31.379787,524700
2011-01-13,31.950001,32.070000,31.920000,32.023335,31.409208,556500
2011-01-14,31.983334,32.119999,31.893333,32.070000,31.454987,529800
2011-01-18,32.046665,32.423332,32.046665,32.423332,31.801535,867300
2011-01-19,32.473331,32.473331,31.556667,31.636667,31.029964,2564700
2011-01-20,31.443333,31.733334,31.413334,31.629999,31.023420,1150500
2011-01-21,31.633333,31.653334,31.330000,31.340000,30.738989,1440300
2011-01-24,31.456667,31.773333,31.400000,31.606667,31.000532,1100100
2011-01-25,31.416668,31.676666,31.416668,31.646667,31.039764,1076100
2011-01-26,31.776667,32.116669,31.706667,32.056667,31.441910,652800
2011-01-27,32.056667,32.136665,31.826668,31.920000,31.307859,1442100
2011-01-28,32.033333,32.033333,31.000000,31.013332,30.418575,1962900
2011-01-31,31.103333,31.393333,30.940001,31.240000,30.640902,4022700
2011-02-01,31.469999,31.613333,31.303333,31.473333,30.869759,2752800
2011-02-02,31.523333,31.593332,31.453333,31.520000,30.915531,492300
2011-02-03,31.506666,31.506666,31.096666,31.309999,30.709560,1290600
2011-02-04,31.219999,31.476667,31.173332,31.383333,30.781494,1026600
2011-02-07,31.463333,31.633333,31.313334,31.350000,30.748796,5430900
2011-02-08,31.366667,31.366667,31.170000,31.340000,30.738989,1633800
2011-02-09,31.296667,31.320000,31.013332,31.129999,30.533012,747300
2011-02-10,30.786667,31.350000,30.783333,31.306667,30.706289,3338400
2011-02-11,30.983334,31.410000,30.983334,31.376667,30.774950,441000
2011-02-14,31.516666,31.613333,31.376667,31.576668,30.971115,1022100
2011-02-15,31.576668,31.703333,31.480000,31.660000,31.052847,1794300
2011-02-16,31.863333,31.863333,31.620001,31.766666,31.157469,3776400
2011-02-17,31.606667,31.926666,31.606667,31.850000,31.239210,3058500
2011-02-18,31.990000,31.990000,31.656668,31.773333,31.164009,712200
2011-02-22,31.643333,31.663334,31.133333,31.193333,30.595127,1434000
2011-02-23,31.193333,31.346666,30.889999,30.933332,30.340118,1466100
2011-02-24,30.809999,31.016666,30.639999,30.889999,30.297611,1727700
2011-02-25,31.033333,31.530001,30.980000,31.506666,30.902454,988500
2011-02-28,31.633333,31.793333,31.416668,31.559999,30.954760,616800
2011-03-01,31.633333,31.690001,31.243334,31.340000,30.738989,1576200
2011-03-02,31.270000,31.706667,31.270000,31.556667,30.951496,973500
2011-03-03,31.716667,32.063332,31.716667,32.013332,31.399405,1042800
2011-03-04,31.913334,32.093334,31.873333,32.013332,31.399405,610800
