Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,37.580002,37.891998,37.516998,37.891998,37.564457,18100
2020-01-03,37.570000,37.990002,37.570000,37.797001,37.470280,28300
2020-01-06,37.639999,37.859001,37.435001,37.842999,37.515881,27400
2020-01-07,38.009998,38.375000,37.860001,38.310001,37.978848,23800
2020-01-08,38.410000,39.000000,38.330002,38.869999,38.534004,43900
2020-01-09,39.189999,39.189999,38.720001,38.910000,38.573658,28700
2020-01-10,39.020000,39.020000,38.500000,38.700001,38.365475,18600
2020-01-13,38.970001,39.500000,38.970001,39.500000,39.158558,34500
2020-01-14,39.650002,39.900002,39.250000,39.610001,39.267609,50800
2020-01-15,39.610001,39.680000,39.098000,39.151001,38.812576,51800
2020-01-16,39.290001,39.750000,39.259998,39.669998,39.327087,46600
2020-01-17,39.869999,40.005001,39.685001,39.860001,39.515446,24900
2020-01-21,39.840000,40.049000,39.779999,39.950001,39.604668,39800
2020-01-22,40.400002,40.625000,40.011002,40.160000,39.812851,94700
2020-01-23,40.169998,40.270000,39.860001,40.240002,39.892162,37600
2020-01-24,40.360001,40.360001,39.290001,39.509998,39.168468,60800
2020-01-27,38.290001,38.790001,38.139999,38.470001,38.137463,38500
2020-01-28,38.750000,39.160000,38.680000,39.069000,38.731285,12900
2020-01-29,39.169998,39.180000,38.669998,38.824001,38.488403,29600
2020-01-30,38.880001,39.290001,38.720001,39.290001,38.950375,33000
2020-01-31,39.119999,39.119999,38.470001,38.574001,38.240562,21500
2020-02-03,38.980000,40.310001,38.980000,40.240002,39.892162,100900
2020-02-04,41.759998,42.520000,41.361000,42.000000,41.636948,172500
2020-02-05,42.200001,42.219002,41.174999,41.450001,41.091702,86000
2020-02-06,41.400002,41.509998,40.943001,41.200001,40.843864,74400
2020-02-07,41.070000,41.173000,40.740002,40.840000,40.486977,46300
2020-02-10,41.060001,41.314999,40.950001,41.235001,40.878559,78800
2020-02-11,41.509998,42.258999,41.509998,42.180000,41.815392,56700
2020-02-12,42.779999,42.790001,42.402000,42.650002,42.281330,61500
2020-02-13,42.279999,42.970001,42.110001,42.810001,42.439949,50400
2020-02-14,42.759998,42.830002,42.430000,42.490002,42.122715,56000
2020-02-18,42.639999,42.790001,42.405998,42.750000,42.380463,69700
2020-02-19,43.189999,43.592999,43.189999,43.490002,43.114071,95000
2020-02-20,43.369999,43.740002,42.709999,43.321999,42.947517,76600
2020-02-21,43.230000,43.230000,42.480000,42.683998,42.315033,63100
2020-02-24,40.910000,41.398998,40.430000,41.077999,40.722916,87700
2020-02-25,41.259998,41.259998,39.244999,39.349998,39.009853,91500
2020-02-26,39.500000,39.919998,38.880001,39.080002,38.742191,66700
2020-02-27,38.000000,38.349998,36.700001,37.000000,36.680168,110200
2020-02-28,35.290001,37.029999,35.279999,36.889999,36.571117,86100
2020-03-02,37.389999,38.500000,36.799999,38.500000,38.167202,49200
2020-03-03,38.889999,39.490002,37.242001,37.860001,37.532734,68500
2020-03-04,38.459999,39.000000,37.911999,39.000000,38.662880,71200
2020-03-05,37.959999,38.450001,37.430000,37.750000,37.423683,58700
2020-03-06,36.410000,37.230000,36.029999,36.758999,36.441250,71500
2020-03-09,33.950001,34.945999,33.000000,34.049999,33.755669,87100
2020-03-10,35.060001,35.389999,34.034000,35.375999,35.070206,42000
2020-03-11,34.389999,34.794998,33.380001,33.910000,33.616879,49700
2020-03-12,31.280001,32.009998,29.790001,30.370001,30.107479,90900
2020-03-13,31.650000,32.000000,29.612000,32.000000,31.723389,56300
2020-03-16,30.580000,30.833000,27.164000,28.700001,28.451916,68100
2020-03-17,28.950001,30.340000,27.670000,29.750000,29.492838,57300
2020-03-18,28.420000,28.582001,26.190001,27.510000,27.272202,77200
2020-03-19,27.260000,29.885000,26.920000,29.410000,29.155777,45900
2020-03-20,29.820000,30.540001,28.841000,28.920000,28.670013,70000
2020-03-23,28.770000,29.589001,28.190001,28.950001,28.699755,61600
2020-03-24,30.600000,31.290001,30.490000,31.190001,30.920391,66600
2020-03-25,31.240000,32.549999,30.729000,31.740000,31.465635,55400
2020-03-26,32.180000,33.262001,32.025002,33.250000,32.962585,76400
2020-03-27,32.380001,33.000000,31.790001,32.330002,32.050537,57200
2020-03-30,32.509998,33.084999,32.020000,32.990002,32.704834,35300
2020-03-31,32.689999,33.666000,32.689999,33.160000,32.873360,25500
2020-04-01,31.860001,32.158001,30.740999,31.007999,30.739964,43000
2020-04-02,30.990000,31.590000,30.510000,30.990000,30.722118,83500
2020-04-03,31.230000,31.790001,30.480000,30.760000,30.494108,30500
2020-04-06,32.290001,33.590000,32.115002,33.590000,33.299644,29300
2020-04-07,34.900002,34.900002,33.259998,33.259998,32.972496,36600
2020-04-08,33.860001,34.310001,33.430000,34.230000,33.934113,39200
2020-04-09,34.599998,35.349998,34.490002,35.000000,34.697456,53100
2020-04-13,35.040001,35.320000,34.480000,35.209999,34.905640,54100
2020-04-14,36.439999,37.080002,36.349998,36.790001,36.471985,57500
2020-04-15,36.340000,36.369999,35.689999,36.139999,35.827602,46300
2020-04-16,36.410000,36.660000,35.900002,36.450001,36.134922,43800
2020-04-17,37.380001,37.549999,37.053001,37.410000,37.086624,52700
2020-04-20,37.020000,37.654999,36.630001,37.049999,36.729736,63000
2020-04-21,36.439999,36.610001,35.419998,35.639999,35.331924,36000
2020-04-22,36.330002,36.805000,36.058998,36.709999,36.392673,37500
2020-04-23,36.700001,37.219002,36.419998,36.419998,36.105179,38000
