Date,Open,High,Low,Close,Adj Close,Volume
03/01/2011,31.303333,31.709999,31.280001,31.43,30.827253,1298400
04/01/2011,31.620001,31.620001,31.139999,31.299999,30.699751,1088100
05/01/2011,31.299999,31.623333,31.24,31.549999,30.944954,1756800
06/01/2011,31.450001,31.75,31.450001,31.696667,31.088808,714300
07/01/2011,31.673332,31.796667,31.466667,31.683332,31.075731,1017300
10/01/2011,31.66,31.693333,31.440001,31.646667,31.039764,938400
11/01/2011,31.913334,31.913334,31.73,31.82,31.209776,1281300
12/01/2011,31.936666,31.993334,31.716667,31.993334,31.379787,524700
13/01/2011,31.950001,32.07,31.92,32.023335,31.409208,556500
14/01/2011,31.983334,32.119999,31.893333,32.07,31.454987,529800
18/01/2011,32.046665,32.423332,32.046665,32.423332,31.801535,867300
19/01/2011,32.473331,32.473331,31.556667,31.636667,31.029964,2564700
20/01/2011,31.443333,31.733334,31.413334,31.629999,31.02342,1150500
21/01/2011,31.633333,31.653334,31.33,31.34,30.738989,1440300
24/01/2011,31.456667,31.773333,31.4,31.606667,31.000532,1100100
25/01/2011,31.416668,31.676666,31.416668,31.646667,31.039764,1076100
26/01/2011,31.776667,32.116669,31.706667,32.056667,31.44191,652800
27/01/2011,32.056667,32.136665,31.826668,31.92,31.307859,1442100
28/01/2011,32.033333,32.033333,31,31.013332,30.418575,1962900
31/01/2011,31.103333,31.393333,30.940001,31.24,30.640902,4022700
01/02/2011,31.469999,31.613333,31.303333,31.473333,30.869759,2752800
02/02/2011,31.523333,31.593332,31.453333,31.52,30.915531,492300
03/02/2011,31.506666,31.506666,31.096666,31.309999,30.70956,1290600
04/02/2011,31.219999,31.476667,31.173332,31.383333,30.781494,1026600
07/02/2011,31.463333,31.633333,31.313334,31.35,30.748796,5430900
08/02/2011,31.366667,31.366667,31.17,31.34,30.738989,1633800
09/02/2011,31.296667,31.32,31.013332,31.129999,30.533012,747300
10/02/2011,30.786667,31.35,30.783333,31.306667,30.706289,3338400
11/02/2011,30.983334,31.41,30.983334,31.376667,30.77495,441000
